,STNAME,CTYNAME,POPESTIMATE2019
159,Arkansas,Marion County,16694
160,Arkansas,Miller County,43257
161,Arkansas,Mississippi County,40651
162,Arkansas,Monroe County,6701
163,Arkansas,Montgomery County,8986
164,Arkansas,Nevada County,8252
165,Arkansas,Newton County,7753
166,Arkansas,Ouachita County,23382
167,Arkansas,Perry County,10455
168,Arkansas,Phillips County,17782
169,Arkansas,Pike County,10718
170,Arkansas,Poinsett County,23528
171,Arkansas,Polk County,19964
172,Arkansas,Pope County,64072
173,Arkansas,Prairie County,8062
174,Arkansas,Pulaski County,391911
175,Arkansas,Randolph County,17958
176,Arkansas,St. Francis County,24994
177,Arkansas,Saline County,122437
178,Arkansas,Scott County,10281
179,Arkansas,Searcy County,7881
180,Arkansas,Sebastian County,127827
181,Arkansas,Sevier County,17007
182,Arkansas,Sharp County,17442
183,Arkansas,Stone County,12506
184,Arkansas,Union County,38682
185,Arkansas,Van Buren County,16545
186,Arkansas,Washington County,239187
187,Arkansas,White County,78753
188,Arkansas,Woodruff County,6320
189,Arkansas,Yell County,21341
190,California,California,39512223
191,California,Alameda County,1671329
192,California,Alpine County,1129
193,California,Amador County,39752
194,California,Butte County,219186
195,California,Calaveras County,45905
196,California,Colusa County,21547
197,California,Contra Costa County,1153526
198,California,Del Norte County,27812
199,California,El Dorado County,192843
200,California,Fresno County,999101
201,California,Glenn County,28393
202,California,Humboldt County,135558
203,California,Imperial County,181215
204,California,Inyo County,18039
205,California,Kern County,900202
206,California,Kings County,152940
207,California,Lake County,64386
208,California,Lassen County,30573
209,California,Los Angeles County,10039107
210,California,Madera County,157327
211,California,Marin County,258826
212,California,Mariposa County,17203
213,California,Mendocino County,86749
214,California,Merced County,277680
215,California,Modoc County,8841
216,California,Mono County,14444
217,California,Monterey County,434061
218,California,Napa County,137744
219,California,Nevada County,99755
220,California,Orange County,3175692
221,California,Placer County,398329
222,California,Plumas County,18807
223,California,Riverside County,2470546
224,California,Sacramento County,1552058
225,California,San Benito County,62808
226,California,San Bernardino County,2180085
227,California,San Diego County,3338330
228,California,San Francisco County,881549
229,California,San Joaquin County,762148
230,California,San Luis Obispo County,283111
231,California,San Mateo County,766573
232,California,Santa Barbara County,446499
233,California,Santa Clara County,1927852
234,California,Santa Cruz County,273213
235,California,Shasta County,180080
236,California,Sierra County,3005
237,California,Siskiyou County,43539
238,California,Solano County,447643
239,California,Sonoma County,494336
240,California,Stanislaus County,550660
241,California,Sutter County,96971
242,California,Tehama County,65084
243,California,Trinity County,12285
244,California,Tulare County,466195
245,California,Tuolumne County,54478
246,California,Ventura County,846006
247,California,Yolo County,220500
248,California,Yuba County,78668
249,Colorado,Colorado,5758736
250,Colorado,Adams County,517421
251,Colorado,Alamosa County,16233
252,Colorado,Arapahoe County,656590
253,Colorado,Archuleta County,14029
254,Colorado,Baca County,3581
255,Colorado,Bent County,5577
256,Colorado,Boulder County,326196
257,Colorado,Broomfield County,70465
258,Colorado,Chaffee County,20356
259,Colorado,Cheyenne County,1831
260,Colorado,Clear Creek County,9700
261,Colorado,Conejos County,8205
262,Colorado,Costilla County,3887
263,Colorado,Crowley County,6061
264,Colorado,Custer County,5068
265,Colorado,Delta County,31162
266,Colorado,Denver County,727211
267,Colorado,Dolores County,2055
268,Colorado,Douglas County,351154
269,Colorado,Eagle County,55127
270,Colorado,Elbert County,26729
271,Colorado,El Paso County,720403
272,Colorado,Fremont County,47839
273,Colorado,Garfield County,60061
274,Colorado,Gilpin County,6243
275,Colorado,Grand County,15734
276,Colorado,Gunnison County,17462
277,Colorado,Hinsdale County,820
278,Colorado,Huerfano County,6897
279,Colorado,Jackson County,1392
280,Colorado,Jefferson County,582881
281,Colorado,Kiowa County,1406
282,Colorado,Kit Carson County,7097
283,Colorado,Lake County,8127
284,Colorado,La Plata County,56221
285,Colorado,Larimer County,356899
286,Colorado,Las Animas County,14506
287,Colorado,Lincoln County,5701
288,Colorado,Logan County,22409
289,Colorado,Mesa County,154210
290,Colorado,Mineral County,769
291,Colorado,Moffat County,13283
292,Colorado,Montezuma County,26183
293,Colorado,Montrose County,42758
294,Colorado,Morgan County,29068
295,Colorado,Otero County,18278
296,Colorado,Ouray County,4952
297,Colorado,Park County,18845
298,Colorado,Phillips County,4265
299,Colorado,Pitkin County,17767
300,Colorado,Prowers County,12172
301,Colorado,Pueblo County,168424
302,Colorado,Rio Blanco County,6324
303,Colorado,Rio Grande County,11267
304,Colorado,Routt County,25638
305,Colorado,Saguache County,6824
306,Colorado,San Juan County,728
307,Colorado,San Miguel County,8179
308,Colorado,Sedgwick County,2248
309,Colorado,Summit County,31011
310,Colorado,Teller County,25388
311,Colorado,Washington County,4908
312,Colorado,Weld County,324492
313,Colorado,Yuma County,10019
314,Connecticut,Connecticut,3565287
315,Connecticut,Fairfield County,943332
316,Connecticut,Hartford County,891720
317,Connecticut,Litchfield County,180333
318,Connecticut,Middlesex County,162436
319,Connecticut,New Haven County,854757
320,Connecticut,New London County,265206
321,Connecticut,Tolland County,150721
322,Connecticut,Windham County,116782
323,Delaware,Delaware,973764
324,Delaware,Kent County,180786
325,Delaware,New Castle County,558753
326,Delaware,Sussex County,234225
327,District of Columbia,District of Columbia,705749
328,District of Columbia,District of Columbia,705749
329,Florida,Florida,21477737
330,Florida,Alachua County,269043
331,Florida,Baker County,29210
332,Florida,Bay County,174705
333,Florida,Bradford County,28201
334,Florida,Brevard County,601942
335,Florida,Broward County,1952778
336,Florida,Calhoun County,14105
337,Florida,Charlotte County,188910
338,Florida,Citrus County,149657
339,Florida,Clay County,219252
340,Florida,Collier County,384902
341,Florida,Columbia County,71686
342,Florida,DeSoto County,38001
343,Florida,Dixie County,16826
344,Florida,Duval County,957755
345,Florida,Escambia County,318316
346,Florida,Flagler County,115081
347,Florida,Franklin County,12125
348,Florida,Gadsden County,45660
349,Florida,Gilchrist County,18582
350,Florida,Glades County,13811
351,Florida,Gulf County,13639
352,Florida,Hamilton County,14428
353,Florida,Hardee County,26937
354,Florida,Hendry County,42022
355,Florida,Hernando County,193920
356,Florida,Highlands County,106221
357,Florida,Hillsborough County,1471968
358,Florida,Holmes County,19617
359,Florida,Indian River County,159923
360,Florida,Jackson County,46414
361,Florida,Jefferson County,14246
362,Florida,Lafayette County,8422
363,Florida,Lake County,367118
364,Florida,Lee County,770577
365,Florida,Leon County,293582
366,Florida,Levy County,41503
367,Florida,Liberty County,8354
368,Florida,Madison County,18493
369,Florida,Manatee County,403253
370,Florida,Marion County,365579
371,Florida,Martin County,161000
372,Florida,Miami-Dade County,2716940
373,Florida,Monroe County,74228
374,Florida,Nassau County,88625
375,Florida,Okaloosa County,210738
376,Florida,Okeechobee County,42168
377,Florida,Orange County,1393452
378,Florida,Osceola County,375751
379,Florida,Palm Beach County,1496770
380,Florida,Pasco County,553947
381,Florida,Pinellas County,974996
382,Florida,Polk County,724777
383,Florida,Putnam County,74521
384,Florida,St. Johns County,264672
385,Florida,St. Lucie County,328297
386,Florida,Santa Rosa County,184313
387,Florida,Sarasota County,433742
388,Florida,Seminole County,471826
389,Florida,Sumter County,132420
390,Florida,Suwannee County,44417
391,Florida,Taylor County,21569
392,Florida,Union County,15237
393,Florida,Volusia County,553284
394,Florida,Wakulla County,33739
395,Florida,Walton County,74071
396,Florida,Washington County,25473
397,Georgia,Georgia,10617423
398,Georgia,Appling County,18386
399,Georgia,Atkinson County,8165
400,Georgia,Bacon County,11164
401,Georgia,Baker County,3038
402,Georgia,Baldwin County,44890
403,Georgia,Banks County,19234
404,Georgia,Barrow County,83240
405,Georgia,Bartow County,107738
406,Georgia,Ben Hill County,16700
407,Georgia,Berrien County,19397
408,Georgia,Bibb County,153159
409,Georgia,Bleckley County,12873
410,Georgia,Brantley County,19109
411,Georgia,Brooks County,15457
412,Georgia,Bryan County,39627
413,Georgia,Bulloch County,79608
414,Georgia,Burke County,22383
415,Georgia,Butts County,24936
416,Georgia,Calhoun County,6189
417,Georgia,Camden County,54666
418,Georgia,Candler County,10803
419,Georgia,Carroll County,119992
420,Georgia,Catoosa County,67580
421,Georgia,Charlton County,13392
422,Georgia,Chatham County,289430
423,Georgia,Chattahoochee County,10907
424,Georgia,Chattooga County,24789
425,Georgia,Cherokee County,258773
426,Georgia,Clarke County,128331
427,Georgia,Clay County,2834
428,Georgia,Clayton County,292256
429,Georgia,Clinch County,6618
430,Georgia,Cobb County,760141
431,Georgia,Coffee County,43273
432,Georgia,Colquitt County,45600
433,Georgia,Columbia County,156714
434,Georgia,Cook County,17270
435,Georgia,Coweta County,148509
436,Georgia,Crawford County,12404
437,Georgia,Crisp County,22372
438,Georgia,Dade County,16116
439,Georgia,Dawson County,26108
440,Georgia,Decatur County,26404
441,Georgia,DeKalb County,759297
442,Georgia,Dodge County,20605
443,Georgia,Dooly County,13390
444,Georgia,Dougherty County,87956
445,Georgia,Douglas County,146343
446,Georgia,Early County,10190
447,Georgia,Echols County,4006
448,Georgia,Effingham County,64296
449,Georgia,Elbert County,19194
450,Georgia,Emanuel County,22646
451,Georgia,Evans County,10654
452,Georgia,Fannin County,26188
453,Georgia,Fayette County,114421
454,Georgia,Floyd County,98498
455,Georgia,Forsyth County,244252
456,Georgia,Franklin County,23349
457,Georgia,Fulton County,1063937
458,Georgia,Gilmer County,31369
459,Georgia,Glascock County,2971
460,Georgia,Glynn County,85292
461,Georgia,Gordon County,57963
462,Georgia,Grady County,24633
463,Georgia,Greene County,18324
464,Georgia,Gwinnett County,936250
465,Georgia,Habersham County,45328
466,Georgia,Hall County,204441
467,Georgia,Hancock County,8457
468,Georgia,Haralson County,29792
469,Georgia,Harris County,35236
470,Georgia,Hart County,26205
471,Georgia,Heard County,11923
472,Georgia,Henry County,234561
473,Georgia,Houston County,157863
474,Georgia,Irwin County,9416
475,Georgia,Jackson County,72977
476,Georgia,Jasper County,14219
477,Georgia,Jeff Davis County,15115
478,Georgia,Jefferson County,15362
479,Georgia,Jenkins County,8676
480,Georgia,Johnson County,9643
481,Georgia,Jones County,28735
482,Georgia,Lamar County,19077
483,Georgia,Lanier County,10423
484,Georgia,Laurens County,47546
485,Georgia,Lee County,29992
486,Georgia,Liberty County,61435
487,Georgia,Lincoln County,7921
488,Georgia,Long County,19559
489,Georgia,Lowndes County,117406
490,Georgia,Lumpkin County,33610
491,Georgia,McDuffie County,21312
492,Georgia,McIntosh County,14378
493,Georgia,Macon County,12947
494,Georgia,Madison County,29880
495,Georgia,Marion County,8359
496,Georgia,Meriwether County,21167
497,Georgia,Miller County,5718
498,Georgia,Mitchell County,21863
499,Georgia,Monroe County,27578
500,Georgia,Montgomery County,9172
501,Georgia,Morgan County,19276
502,Georgia,Murray County,40096
503,Georgia,Muscogee County,195769
504,Georgia,Newton County,111744
505,Georgia,Oconee County,40280
506,Georgia,Oglethorpe County,15259
507,Georgia,Paulding County,168667
508,Georgia,Peach County,27546
509,Georgia,Pickens County,32591
510,Georgia,Pierce County,19465
511,Georgia,Pike County,18962
512,Georgia,Polk County,42613
513,Georgia,Pulaski County,11137
514,Georgia,Putnam County,22119
515,Georgia,Quitman County,2299
516,Georgia,Rabun County,17137
517,Georgia,Randolph County,6778
518,Georgia,Richmond County,202518
519,Georgia,Rockdale County,90896
520,Georgia,Schley County,5257
521,Georgia,Screven County,13966
522,Georgia,Seminole County,8090
523,Georgia,Spalding County,66703
524,Georgia,Stephens County,25925
525,Georgia,Stewart County,6621
526,Georgia,Sumter County,29524
527,Georgia,Talbot County,6195
528,Georgia,Taliaferro County,1537
529,Georgia,Tattnall County,25286
530,Georgia,Taylor County,8020
531,Georgia,Telfair County,15860
532,Georgia,Terrell County,8531
533,Georgia,Thomas County,44451
534,Georgia,Tift County,40644
535,Georgia,Toombs County,26830
536,Georgia,Towns County,12037
537,Georgia,Treutlen County,6901
538,Georgia,Troup County,69922
539,Georgia,Turner County,7985
540,Georgia,Twiggs County,8120
541,Georgia,Union County,24511
542,Georgia,Upson County,26320
543,Georgia,Walker County,69761
544,Georgia,Walton County,94593
545,Georgia,Ware County,35734
546,Georgia,Warren County,5254
547,Georgia,Washington County,20374
548,Georgia,Wayne County,29927
549,Georgia,Webster County,2607
550,Georgia,Wheeler County,7855
551,Georgia,White County,30798
552,Georgia,Whitfield County,104628
553,Georgia,Wilcox County,8635
554,Georgia,Wilkes County,9777
555,Georgia,Wilkinson County,8954
556,Georgia,Worth County,20247
557,Hawaii,Hawaii,1415872
558,Hawaii,Hawaii County,201513
559,Hawaii,Honolulu County,974563
560,Hawaii,Kalawao County,86
561,Hawaii,Kauai County,72293
562,Hawaii,Maui County,167417
563,Idaho,Idaho,1787065
564,Idaho,Ada County,481587
565,Idaho,Adams County,4294
566,Idaho,Bannock County,87808
567,Idaho,Bear Lake County,6125
568,Idaho,Benewah County,9298
569,Idaho,Bingham County,46811
570,Idaho,Blaine County,23021
571,Idaho,Boise County,7831
572,Idaho,Bonner County,45739
573,Idaho,Bonneville County,119062
574,Idaho,Boundary County,12245
575,Idaho,Butte County,2597
576,Idaho,Camas County,1106
577,Idaho,Canyon County,229849
578,Idaho,Caribou County,7155
579,Idaho,Cassia County,24030
580,Idaho,Clark County,845
581,Idaho,Clearwater County,8756
582,Idaho,Custer County,4315
583,Idaho,Elmore County,27511
584,Idaho,Franklin County,13876
585,Idaho,Fremont County,13099
586,Idaho,Gem County,18112
587,Idaho,Gooding County,15179
588,Idaho,Idaho County,16667
589,Idaho,Jefferson County,29871
590,Idaho,Jerome County,24412
591,Idaho,Kootenai County,165697
592,Idaho,Latah County,40108
593,Idaho,Lemhi County,8027
594,Idaho,Lewis County,3838
595,Idaho,Lincoln County,5366
596,Idaho,Madison County,39907
597,Idaho,Minidoka County,21039
598,Idaho,Nez Perce County,40408
599,Idaho,Oneida County,4531
600,Idaho,Owyhee County,11823
601,Idaho,Payette County,23951
602,Idaho,Power County,7681
603,Idaho,Shoshone County,12882
604,Idaho,Teton County,12142
605,Idaho,Twin Falls County,86878
606,Idaho,Valley County,11392
607,Idaho,Washington County,10194
608,Illinois,Illinois,12671821
609,Illinois,Adams County,65435
610,Illinois,Alexander County,5761
611,Illinois,Bond County,16426
612,Illinois,Boone County,53544
613,Illinois,Brown County,6578
614,Illinois,Bureau County,32628
615,Illinois,Calhoun County,4739
616,Illinois,Carroll County,14305
617,Illinois,Cass County,12147
618,Illinois,Champaign County,209689
619,Illinois,Christian County,32304
620,Illinois,Clark County,15441
621,Illinois,Clay County,13184
622,Illinois,Clinton County,37562
623,Illinois,Coles County,50621
624,Illinois,Cook County,5150233
625,Illinois,Crawford County,18667
626,Illinois,Cumberland County,10766
627,Illinois,DeKalb County,104897
628,Illinois,De Witt County,15638
629,Illinois,Douglas County,19465
630,Illinois,DuPage County,922921
631,Illinois,Edgar County,17161
632,Illinois,Edwards County,6395
633,Illinois,Effingham County,34008
634,Illinois,Fayette County,21336
635,Illinois,Ford County,12961
636,Illinois,Franklin County,38469
637,Illinois,Fulton County,34340
638,Illinois,Gallatin County,4828
639,Illinois,Greene County,12969
640,Illinois,Grundy County,51054
641,Illinois,Hamilton County,8116
642,Illinois,Hancock County,17708
643,Illinois,Hardin County,3821
644,Illinois,Henderson County,6646
645,Illinois,Henry County,48913
646,Illinois,Iroquois County,27114
647,Illinois,Jackson County,56750
648,Illinois,Jasper County,9610
649,Illinois,Jefferson County,37684
650,Illinois,Jersey County,21773
651,Illinois,Jo Daviess County,21235
652,Illinois,Johnson County,12417
653,Illinois,Kane County,532403
654,Illinois,Kankakee County,109862
655,Illinois,Kendall County,128990
656,Illinois,Knox County,49699
657,Illinois,Lake County,696535
658,Illinois,LaSalle County,108669
659,Illinois,Lawrence County,15678
660,Illinois,Lee County,34096
661,Illinois,Livingston County,35648
662,Illinois,Logan County,28618
663,Illinois,McDonough County,29682
664,Illinois,McHenry County,307774
665,Illinois,McLean County,171517
666,Illinois,Macon County,104009
667,Illinois,Macoupin County,44926
668,Illinois,Madison County,262966
669,Illinois,Marion County,37205
670,Illinois,Marshall County,11438
671,Illinois,Mason County,13359
672,Illinois,Massac County,13772
673,Illinois,Menard County,12196
674,Illinois,Mercer County,15437
675,Illinois,Monroe County,34637
676,Illinois,Montgomery County,28414
677,Illinois,Morgan County,33658
678,Illinois,Moultrie County,14501
679,Illinois,Ogle County,50643
680,Illinois,Peoria County,179179
681,Illinois,Perry County,20916
682,Illinois,Piatt County,16344
683,Illinois,Pike County,15561
684,Illinois,Pope County,4177
685,Illinois,Pulaski County,5335
686,Illinois,Putnam County,5739
687,Illinois,Randolph County,31782
688,Illinois,Richland County,15513
689,Illinois,Rock Island County,141879
690,Illinois,St. Clair County,259686
691,Illinois,Saline County,23491
692,Illinois,Sangamon County,194672
693,Illinois,Schuyler County,6768
694,Illinois,Scott County,4951
695,Illinois,Shelby County,21634
696,Illinois,Stark County,5342
697,Illinois,Stephenson County,44498
698,Illinois,Tazewell County,131803
699,Illinois,Union County,16653
700,Illinois,Vermilion County,75758
701,Illinois,Wabash County,11520
702,Illinois,Warren County,16844
703,Illinois,Washington County,13887
704,Illinois,Wayne County,16215
705,Illinois,White County,13537
706,Illinois,Whiteside County,55175
707,Illinois,Will County,690743
708,Illinois,Williamson County,66597
709,Illinois,Winnebago County,282572
710,Illinois,Woodford County,38459
711,Indiana,Indiana,6732219
712,Indiana,Adams County,35777
713,Indiana,Allen County,379299
714,Indiana,Bartholomew County,83779
715,Indiana,Benton County,8748
716,Indiana,Blackford County,11758
717,Indiana,Boone County,67843
718,Indiana,Brown County,15092
719,Indiana,Carroll County,20257
720,Indiana,Cass County,37689
721,Indiana,Clark County,118302
722,Indiana,Clay County,26225
723,Indiana,Clinton County,32399
724,Indiana,Crawford County,10577
725,Indiana,Daviess County,33351
726,Indiana,Dearborn County,49458
727,Indiana,Decatur County,26559
728,Indiana,DeKalb County,43475
729,Indiana,Delaware County,114135
730,Indiana,Dubois County,42736
731,Indiana,Elkhart County,206341
732,Indiana,Fayette County,23102
733,Indiana,Floyd County,78522
734,Indiana,Fountain County,16346
735,Indiana,Franklin County,22758
736,Indiana,Fulton County,19974
737,Indiana,Gibson County,33659
738,Indiana,Grant County,65769
739,Indiana,Greene County,31922
740,Indiana,Hamilton County,338011
741,Indiana,Hancock County,78168
742,Indiana,Harrison County,40515
743,Indiana,Hendricks County,170311
744,Indiana,Henry County,47972
745,Indiana,Howard County,82544
746,Indiana,Huntington County,36520
747,Indiana,Jackson County,44231
748,Indiana,Jasper County,33562
749,Indiana,Jay County,20436
750,Indiana,Jefferson County,32308
751,Indiana,Jennings County,27735
752,Indiana,Johnson County,158167
753,Indiana,Knox County,36594
754,Indiana,Kosciusko County,79456
755,Indiana,LaGrange County,39614
756,Indiana,Lake County,485493
757,Indiana,LaPorte County,109888
758,Indiana,Lawrence County,45370
759,Indiana,Madison County,129569
760,Indiana,Marion County,964582
761,Indiana,Marshall County,46258
762,Indiana,Martin County,10255
763,Indiana,Miami County,35516
764,Indiana,Monroe County,148431
765,Indiana,Montgomery County,38338
766,Indiana,Morgan County,70489
767,Indiana,Newton County,13984
768,Indiana,Noble County,47744
769,Indiana,Ohio County,5875
770,Indiana,Orange County,19646
771,Indiana,Owen County,20799
772,Indiana,Parke County,16937
773,Indiana,Perry County,19169
774,Indiana,Pike County,12389
775,Indiana,Porter County,170389
776,Indiana,Posey County,25427
777,Indiana,Pulaski County,12353
778,Indiana,Putnam County,37576
779,Indiana,Randolph County,24665
780,Indiana,Ripley County,28324
781,Indiana,Rush County,16581
782,Indiana,St. Joseph County,271826
783,Indiana,Scott County,23873
784,Indiana,Shelby County,44729
785,Indiana,Spencer County,20277
786,Indiana,Starke County,22995
787,Indiana,Steuben County,34594
788,Indiana,Sullivan County,20669
789,Indiana,Switzerland County,10751
790,Indiana,Tippecanoe County,195732
791,Indiana,Tipton County,15148
792,Indiana,Union County,7054
793,Indiana,Vanderburgh County,181451
794,Indiana,Vermillion County,15498
795,Indiana,Vigo County,107038
796,Indiana,Wabash County,30996
797,Indiana,Warren County,8265
798,Indiana,Warrick County,62998
799,Indiana,Washington County,28036
800,Indiana,Wayne County,65884
801,Indiana,Wells County,28296
802,Indiana,White County,24102
803,Indiana,Whitley County,33964
804,Iowa,Iowa,3155070
805,Iowa,Adair County,7152
806,Iowa,Adams County,3602
807,Iowa,Allamakee County,13687
808,Iowa,Appanoose County,12426
809,Iowa,Audubon County,5496
810,Iowa,Benton County,25645
811,Iowa,Black Hawk County,131228
812,Iowa,Boone County,26234
813,Iowa,Bremer County,25062
814,Iowa,Buchanan County,21175
815,Iowa,Buena Vista County,19620
816,Iowa,Butler County,14439
817,Iowa,Calhoun County,9668
818,Iowa,Carroll County,20165
819,Iowa,Cass County,12836
820,Iowa,Cedar County,18627
821,Iowa,Cerro Gordo County,42450
822,Iowa,Cherokee County,11235
823,Iowa,Chickasaw County,11933
824,Iowa,Clarke County,9395
825,Iowa,Clay County,16016
826,Iowa,Clayton County,17549
827,Iowa,Clinton County,46429
828,Iowa,Crawford County,16820
829,Iowa,Dallas County,93453
830,Iowa,Davis County,9000
831,Iowa,Decatur County,7870
832,Iowa,Delaware County,17011
833,Iowa,Des Moines County,38967
834,Iowa,Dickinson County,17258
835,Iowa,Dubuque County,97311
836,Iowa,Emmet County,9208
837,Iowa,Fayette County,19650
838,Iowa,Floyd County,15642
839,Iowa,Franklin County,10070
840,Iowa,Fremont County,6960
841,Iowa,Greene County,8888
842,Iowa,Grundy County,12232
843,Iowa,Guthrie County,10689
844,Iowa,Hamilton County,14773
845,Iowa,Hancock County,10630
846,Iowa,Hardin County,16846
847,Iowa,Harrison County,14049
848,Iowa,Henry County,19954
849,Iowa,Howard County,9158
850,Iowa,Humboldt County,9558
851,Iowa,Ida County,6860
852,Iowa,Iowa County,16184
853,Iowa,Jackson County,19439
854,Iowa,Jasper County,37185
855,Iowa,Jefferson County,18295
856,Iowa,Johnson County,151140
857,Iowa,Jones County,20681
858,Iowa,Keokuk County,10246
859,Iowa,Kossuth County,14813
860,Iowa,Lee County,33657
861,Iowa,Linn County,226706
862,Iowa,Louisa County,11035
863,Iowa,Lucas County,8600
864,Iowa,Lyon County,11755
865,Iowa,Madison County,16338
866,Iowa,Mahaska County,22095
867,Iowa,Marion County,33253
868,Iowa,Marshall County,39369
869,Iowa,Mills County,15109
870,Iowa,Mitchell County,10586
871,Iowa,Monona County,8615
872,Iowa,Monroe County,7707
873,Iowa,Montgomery County,9917
874,Iowa,Muscatine County,42664
875,Iowa,O'Brien County,13753
876,Iowa,Osceola County,5958
877,Iowa,Page County,15107
878,Iowa,Palo Alto County,8886
879,Iowa,Plymouth County,25177
880,Iowa,Pocahontas County,6619
881,Iowa,Polk County,490161
882,Iowa,Pottawattamie County,93206
883,Iowa,Poweshiek County,18504
884,Iowa,Ringgold County,4894
885,Iowa,Sac County,9721
886,Iowa,Scott County,172943
887,Iowa,Shelby County,11454
888,Iowa,Sioux County,34855
889,Iowa,Story County,97117
890,Iowa,Tama County,16854
891,Iowa,Taylor County,6121
892,Iowa,Union County,12241
893,Iowa,Van Buren County,7044
894,Iowa,Wapello County,34969
895,Iowa,Warren County,51466
896,Iowa,Washington County,21965
897,Iowa,Wayne County,6441
898,Iowa,Webster County,35904
899,Iowa,Winnebago County,10354
900,Iowa,Winneshiek County,19991
901,Iowa,Woodbury County,103107
902,Iowa,Worth County,7381
903,Iowa,Wright County,12562
904,Kansas,Kansas,2913314
905,Kansas,Allen County,12369
906,Kansas,Anderson County,7858
907,Kansas,Atchison County,16073
908,Kansas,Barber County,4427
909,Kansas,Barton County,25779
910,Kansas,Bourbon County,14534
911,Kansas,Brown County,9564
912,Kansas,Butler County,66911
913,Kansas,Chase County,2648
914,Kansas,Chautauqua County,3250
915,Kansas,Cherokee County,19939
916,Kansas,Cheyenne County,2657
917,Kansas,Clark County,1994
918,Kansas,Clay County,8002
919,Kansas,Cloud County,8786
920,Kansas,Coffey County,8179
921,Kansas,Comanche County,1700
922,Kansas,Cowley County,34908
923,Kansas,Crawford County,38818
924,Kansas,Decatur County,2827
925,Kansas,Dickinson County,18466
926,Kansas,Doniphan County,7600
927,Kansas,Douglas County,122259
928,Kansas,Edwards County,2798
929,Kansas,Elk County,2530
930,Kansas,Ellis County,28553
931,Kansas,Ellsworth County,6102
932,Kansas,Finney County,36467
933,Kansas,Ford County,33619
934,Kansas,Franklin County,25544
935,Kansas,Geary County,31670
936,Kansas,Gove County,2636
937,Kansas,Graham County,2482
938,Kansas,Grant County,7150
939,Kansas,Gray County,5988
940,Kansas,Greeley County,1232
941,Kansas,Greenwood County,5982
942,Kansas,Hamilton County,2539
943,Kansas,Harper County,5436
944,Kansas,Harvey County,34429
945,Kansas,Haskell County,3968
946,Kansas,Hodgeman County,1794
947,Kansas,Jackson County,13171
948,Kansas,Jefferson County,19043
949,Kansas,Jewell County,2879
950,Kansas,Johnson County,602401
951,Kansas,Kearny County,3838
952,Kansas,Kingman County,7152
953,Kansas,Kiowa County,2475
954,Kansas,Labette County,19618
955,Kansas,Lane County,1535
956,Kansas,Leavenworth County,81758
957,Kansas,Lincoln County,2962
958,Kansas,Linn County,9703
959,Kansas,Logan County,2794
960,Kansas,Lyon County,33195
961,Kansas,McPherson County,28542
962,Kansas,Marion County,11884
963,Kansas,Marshall County,9707
964,Kansas,Meade County,4033
965,Kansas,Miami County,34237
966,Kansas,Mitchell County,5979
967,Kansas,Montgomery County,31829
968,Kansas,Morris County,5620
969,Kansas,Morton County,2587
970,Kansas,Nemaha County,10231
971,Kansas,Neosho County,16007
972,Kansas,Ness County,2750
973,Kansas,Norton County,5361
974,Kansas,Osage County,15949
975,Kansas,Osborne County,3421
976,Kansas,Ottawa County,5704
977,Kansas,Pawnee County,6414
978,Kansas,Phillips County,5234
979,Kansas,Pottawatomie County,24383
980,Kansas,Pratt County,9164
981,Kansas,Rawlins County,2530
982,Kansas,Reno County,61998
983,Kansas,Republic County,4636
984,Kansas,Rice County,9537
985,Kansas,Riley County,74232
986,Kansas,Rooks County,4920
987,Kansas,Rush County,3036
988,Kansas,Russell County,6856
989,Kansas,Saline County,54224
990,Kansas,Scott County,4823
991,Kansas,Sedgwick County,516042
992,Kansas,Seward County,21428
993,Kansas,Shawnee County,176875
994,Kansas,Sheridan County,2521
995,Kansas,Sherman County,5917
996,Kansas,Smith County,3583
997,Kansas,Stafford County,4156
998,Kansas,Stanton County,2006
999,Kansas,Stevens County,5485
